888665151,Mary Alice,F,1924-11-10,Spouse
444444400,Kathy,F,1944-10-09,Spouse
999887777,John Smith,M,1956-07-19,Spouse
987987987,Khadeja Begum,F,1949-03-29,Spouse
987987987,Jalil Ahmad,M,1929-03-29,Children
222222200,Jay Wallis,M,1956-01-16,Spouse
222222202,Mindy Vile,F,1942-06-21,Spouse
222222202,Amenda Vile,F,1914-06-21,Children
222222204,Amy Vos,F,1963-11-11,Spouse
222222204,james Vos,M,1937-11-11,Children
444444401,William Bayes,M,1954-06-19,Spouse
444444401,Amy Bayes,F,1926-06-18,Children
444444401,Tom Bayes,M,1926-06-20,Children
666666601,Mary Jarvice,F,1964-01-14,Spouse
666666602,Bond King,M,1964-04-16,Spouse
666666604,Monia King,F,1955-01-01,Spouse
666666605,Aly Kramer,F,1961-08-22,Spouse
666666606,Chistina King,F,1948-08-16,Spouse
666666607,Alex Small,F,1960-05-15,Spouse
666666608,Katherin Head,F,1964-05-19,Spouse
666666608,Monica Head,F,1937-05-19,Children
666666608,Rachel Head,M,1937-05-18,Children
